source_id,namespace,episode_id,file_path,language,status,notes
beerschool-a-cerveja-perfeita-para-o-verao-session-ipa-2-9-de-alcool-_rOtmW1ObNA,beerschool,beerschool-a-cerveja-perfeita-para-o-verao-session-ipa-2-9-de-alcool-_rOtmW1ObNA,episodes/beerschool/raw/youtube-import/beerschool-a-cerveja-perfeita-para-o-verao-session-ipa-2-9-de-alcool-_rOtmW1ObNA.mkv,pt-BR,extracted,
beerschool-como-fazer-uma-imperial-stout-incrivel-dc-08-YgRnFiAK4Ec,beerschool,beerschool-como-fazer-uma-imperial-stout-incrivel-dc-08-YgRnFiAK4Ec,episodes/beerschool/raw/youtube-import/beerschool-como-fazer-uma-imperial-stout-incrivel-dc-08-YgRnFiAK4Ec.mkv,pt-BR,extracted,
beerschool-como-propagar-levedura-do-zero-sem-estragar-tudo-WFcFy3ByMqw,beerschool,beerschool-como-propagar-levedura-do-zero-sem-estragar-tudo-WFcFy3ByMqw,episodes/beerschool/raw/youtube-import/beerschool-como-propagar-levedura-do-zero-sem-estragar-tudo-WFcFy3ByMqw.mkv,pt-BR,extracted,
beerschool-depois-de-10-anos-eu-preciso-mudar-o-beer-school-dHLJBFTf76s,beerschool,beerschool-depois-de-10-anos-eu-preciso-mudar-o-beer-school-dHLJBFTf76s,episodes/beerschool/raw/youtube-import/beerschool-depois-de-10-anos-eu-preciso-mudar-o-beer-school-dHLJBFTf76s.mkv,pt-BR,extracted,
beerschool-quem-ainda-faz-cerveja-zxCE8tlgvWY,beerschool,beerschool-quem-ainda-faz-cerveja-zxCE8tlgvWY,episodes/beerschool/raw/youtube-import/beerschool-quem-ainda-faz-cerveja-zxCE8tlgvWY.mkv,pt-BR,extracted,
